epoch,train_loss,eval_loss,eval_top1,eval_top5,lr
0,6.578922726891258,5.85717734375,3.23,13.67,1e-05
1,4.952511939746012,4.41186962890625,4.22,17.03,0.0025080000000000002
2,4.9631873776757,4.393058984375,5.32,17.84,0.005006
3,4.8533595817189825,4.31629892578125,5.18,20.14,0.007504
4,4.810526480290099,4.267140966796875,6.03,21.38,0.010002
5,4.7939441265125735,4.24063037109375,6.72,21.96,0.012491434592216086
6,4.773638139155702,4.22556103515625,6.3,22.85,0.012487667052676697
7,4.7357177163513615,4.173480859375,7.51,24.69,0.012483215482652863
8,4.713436355358812,4.1217096923828125,7.43,26.09,0.012478080370309404
9,4.7032183724695225,4.152942138671875,7.8,26.6,0.01247226227876925
10,4.695792646017331,4.147278125,8.02,26.51,0.012465761846051708
11,4.691673739771532,4.099876708984375,8.56,27.98,0.012458579785002477
12,4.683638712202846,4.108644580078125,7.98,27.02,0.012450716883215487
13,4.677674969088253,4.103442138671875,8.77,26.98,0.012442174002946524
14,4.671196976941313,4.118735229492187,7.74,26.65,0.012432952081018678
15,4.66946769096482,4.095215625,7.88,26.65,0.012423052128719612
16,4.665913552847165,4.087317919921875,8.6,28.03,0.012412475231690657
17,4.655087554653231,4.096271337890625,8.05,28.02,0.012401222549807762
18,4.639716725038047,4.051421826171875,10.03,28.78,0.012389295317054306
19,4.627831879406977,4.0342636474609375,9.52,29.8,0.012376694841385762
20,4.621690159723181,4.0138599609375,9.94,29.55,0.012363422504586287
21,4.602541103253139,3.9969390380859373,10.12,29.72,0.012349479762117171
22,4.593201943152082,3.967762744140625,10.85,31.63,0.012334868142957253
23,4.583838011635403,3.971453173828125,10.11,30.63,0.012319589249435227
24,4.566528503629218,3.893783447265625,11.44,33.24,0.012303644757053945
25,4.543611391711021,3.920419921875,10.94,32.76,0.012287036414306677
26,4.5239535327452245,3.8853830810546874,11.62,34.07,0.012269766042485364
27,4.513046885269399,3.852850830078125,12.52,35.46,0.012251835535480895
28,4.49429158517249,3.853500146484375,12.07,34.93,0.012233246859575421
29,4.481147214942033,3.832146142578125,12.66,35.73,0.01221400205322673
30,4.4744132432070645,3.8259248291015626,13.37,36.18,0.012194103226844711
31,4.461879964979907,3.8019582763671873,13.06,36.62,0.012173552562559913
32,4.449437509272987,3.8344692138671874,13.09,36.84,0.012152352313984259
33,4.425891681303593,3.810827392578125,13.26,36.15,0.01213050480596391
34,4.416388859669469,3.7730489013671873,13.89,37.67,0.012108012434324323
35,4.404938795349815,3.7413234619140625,15.04,38.93,0.012084877665607511
36,4.378953331105993,3.717013024902344,14.66,39.79,0.012061103036801572
37,4.3664926600364655,3.69998115234375,14.88,40.35,0.012036691155062468
38,4.348450609266987,3.69006494140625,15.32,40.05,0.01201164469742813
39,4.339116910508286,3.6855526611328124,16.05,41.06,0.011985966410524882
40,4.320527804493141,3.660728698730469,15.39,41.02,0.011959659110266255
41,4.311267844846093,3.6235076904296877,15.66,42.11,0.01193272568154418
42,4.298313414241532,3.611663000488281,16.34,42.76,0.011905169077912623
43,4.28317619362195,3.5933882080078123,16.97,43.0,0.011876992321263711
44,4.27864775309642,3.5803084716796874,17.0,43.81,0.011848198501496331
45,4.262482965801498,3.602727423095703,16.8,42.68,0.011818790776177299
46,4.250378424165802,3.535809997558594,18.44,44.67,0.011788772370195093
47,4.234862015891472,3.5596043579101564,17.6,43.96,0.0117581465754062
48,4.224945663184729,3.507830322265625,18.53,45.44,0.011726916750274147
49,4.216265924761451,3.5261293701171876,18.83,44.76,0.011695086319501185
50,4.207464345591322,3.506814801025391,19.34,45.75,0.011662658773652742
51,4.182354384744671,3.4838842041015625,18.88,45.34,0.011629637668774648
52,4.154455501810384,3.4523160400390625,19.96,47.06,0.011596026626003168
53,4.13142583815908,3.389790869140625,20.73,48.05,0.011561829331167901
54,4.116078268550575,3.385039288330078,20.95,48.49,0.011527049534387594
55,4.093691980335074,3.364702874755859,21.56,48.99,0.0114916910496589
56,4.082194400047371,3.3471144775390624,21.17,49.43,0.011455757754438122
57,4.067879595310831,3.3164017028808592,22.27,50.1,0.011419253589216012
58,4.052804459530321,3.332820227050781,22.17,50.19,0.011382182557085651
59,4.0430991832791765,3.2971516235351563,22.29,50.61,0.011344548723303463
60,4.038859988602114,3.315592559814453,22.26,50.49,0.011306356214843423
61,4.017775900690565,3.2876352172851564,22.73,51.07,0.011267609219944467
62,4.0128113542720385,3.2764592132568358,23.04,51.01,0.011228311987651228
63,4.009743997443196,3.2701141723632814,22.94,51.13,0.011188468827348065
64,3.9894672552846306,3.219351605224609,24.22,52.75,0.0111480841082865
65,3.9823739910247844,3.1898230102539062,24.43,53.4,0.011107162259106068
66,3.9713208585328847,3.2131849578857423,23.84,52.46,0.011065707767348684
67,3.965372555997704,3.1910316833496095,24.97,53.46,0.011023725178966515
68,3.9553796611583185,3.2209057754516603,24.13,52.36,0.010981219097823479
69,3.944941369427914,3.166906088256836,25.38,53.94,0.010938194185190373
70,3.9323756452101293,3.165169943237305,25.38,53.8,0.010894655159233716
71,3.929271235966652,3.1283253936767577,26.07,55.18,0.010850606794498341
72,3.9096179380917517,3.138597854614258,25.35,54.64,0.010806053921383823
73,3.9052125177371213,3.1425639663696288,25.73,54.05,0.010761001425614765
74,3.900414332384947,3.1313044082641603,26.15,55.15,0.010715454247705022
75,3.892065054781153,3.1341175537109374,26.34,54.94,0.010669417382415922
76,3.8782469389838536,3.073806787109375,26.85,56.76,0.010622895878208536
77,3.861428756567336,3.0426270446777344,27.36,56.95,0.010575894836690043
78,3.854037323468168,3.0653720687866213,26.77,56.81,0.010528419412054305
79,3.8442382194321225,3.075281169128418,26.67,56.17,0.01048047481051663
80,3.8335378885879714,3.0404554443359375,28.08,57.54,0.010432066289742865
81,3.815361268083814,3.007734903717041,28.37,58.08,0.010383199158272825
82,3.809313931324723,3.0446051666259764,27.18,56.52,0.01033387877493816
83,3.7930607812505373,2.9882302856445313,28.46,58.25,0.010284110548274692
84,3.7809524835300814,2.9776049392700195,29.36,58.6,0.010233899935929311
85,3.766631134188282,2.9451619735717776,29.36,59.5,0.010183252444061486
86,3.7526475178905394,2.9481795822143555,29.78,59.29,0.010132173626739441
87,3.7422057976338072,2.9520637130737306,29.28,58.7,0.010080669085331104
88,3.729490091797637,2.930129364013672,29.94,59.86,0.010028744467889844
89,3.71803199008546,2.920940202331543,29.79,60.06,0.0099764054685351
90,3.7167915362249415,2.9586924522399904,29.83,58.38,0.009923657826827957
91,3.6992590303762927,2.9189821853637694,30.42,59.84,0.009870507327141743
92,3.6892803704387553,2.861666413116455,31.74,60.82,0.0098169597980277
93,3.682068269933537,2.8419067840576173,31.52,61.52,0.009763021111575818
94,3.6628751202215764,2.8069176445007322,32.28,62.51,0.009708697182770901
95,3.661244944787361,2.861629648590088,31.93,60.54,0.00965399396884392
96,3.6496505630458973,2.8093730728149415,32.29,62.8,0.009598917468618729
97,3.638008628093021,2.793236508178711,32.18,62.98,0.009543473721854236
98,3.630455162857925,2.7820780853271483,32.35,62.83,0.009487668808582065
99,3.6137520515964523,2.8273820762634276,32.41,62.46,0.009431508848439822
100,3.6116320140535794,2.795801683807373,32.54,62.68,0.009375000000000001
101,3.5950061455273596,2.7645648849487303,33.47,63.34,0.00931814846009463
102,3.596225579783187,2.7601873657226563,33.41,63.44,0.009260960463135721
103,3.5791522400327285,2.738141343688965,33.69,64.01,0.009203442280431589
104,3.5726214963251133,2.7357025634765626,34.32,64.06,0.009145600219499136
105,3.568284680687664,2.7174671897888185,34.63,64.04,0.009087440623372167
106,3.553153001849996,2.7260935440063476,34.06,63.93,0.009028969869905796
107,3.551260223309301,2.6663703735351563,35.25,65.69,0.008970194371077048
108,3.533737640680027,2.7325130241394042,34.51,64.18,0.008911120572281704
109,3.5230839043359596,2.6420123741149903,35.93,66.09,0.008851754951627508
110,3.516785308585124,2.6636271522521975,35.95,65.83,0.008792104019223751
111,3.497608480166534,2.6609795249938966,34.98,64.67,0.008732174316467379
112,3.485728463503829,2.651448617553711,36.09,65.99,0.008671972415325644
113,3.477455873800759,2.649993691253662,35.7,65.87,0.00861150491761542
114,3.4660494275648674,2.6314844497680663,36.14,65.99,0.00855077845427924
115,3.446373616687467,2.5949225109100342,36.57,66.85,0.008489799684658126
116,3.44145521815394,2.574655899810791,37.22,67.11,0.008428575295761345
117,3.4353525844639914,2.6055702308654785,36.34,67.23,0.008367112001533073
118,3.41660189445437,2.539939608001709,38.5,67.64,0.008305416542116145
119,3.4017391790959044,2.5551246955871583,37.98,67.37,0.008243495683112938
120,3.390036734972965,2.535551170349121,38.71,68.43,0.008181356214843422
121,3.383930738390484,2.5454423950195313,38.3,67.59,0.008119004951600542
122,3.375528111500563,2.5771294090270995,37.67,66.88,0.008056448730902948
123,3.3524786249165652,2.536770333099365,38.08,68.12,0.007993694412745184
124,3.339941639906313,2.48070700378418,39.28,69.03,0.007930748878845411
125,3.3372764346236305,2.5049451454162597,39.53,68.39,0.007867619031890757
126,3.3347437763336223,2.501036185836792,38.46,68.65,0.007804311794780342
127,3.310981908009391,2.4421147899627687,40.14,69.82,0.007740834109866131
128,3.3039977744355244,2.449416803741455,40.51,69.5,0.007677192938191599
129,3.2940183401718337,2.448879985046387,39.98,69.93,0.007613395258728392
130,3.2902406136601896,2.4938491050720213,39.86,68.77,0.007549448067610997
131,3.2772680594276986,2.4489055725097657,40.54,69.4,0.007485358377369538
132,3.273333991688131,2.444273310089111,40.55,70.01,0.00742113321616078
133,3.259244618434149,2.4090363552093508,41.34,70.62,0.007356779626997397
134,3.24926225064506,2.417218814468384,41.22,70.62,0.00729230466697564
135,3.244163385121374,2.439219507217407,39.94,69.76,0.007227715406501444
136,3.2227204839642924,2.420960944747925,41.54,70.19,0.007163018928515074
137,3.2193666189794503,2.4353177448272705,40.31,69.86,0.007098222327714403
138,3.2015531763682445,2.39063049659729,41.47,70.92,0.007033332709776902
139,3.2028809291299876,2.384760527420044,41.57,70.86,0.0069683571905804174
140,3.188084392480447,2.3821609992980957,42.12,71.0,0.006903302895422837
141,3.18120270196668,2.3873400939941405,41.88,70.96,0.0068381769582407164
142,3.1699678363629094,2.3833445072174073,41.94,70.68,0.006772986520826973
143,3.153863090101186,2.3309345027923585,43.18,71.93,0.006707738732047698
144,3.1492070454183523,2.3922020729064943,42.24,71.06,0.00664244074705821
145,3.145002661380206,2.311024966049194,43.44,72.26,0.0065770997265184004
146,3.125609648670338,2.3749976821899415,42.07,71.68,0.006511722835807499
147,3.120081382127486,2.3523040012359617,42.53,70.77,0.006446317244238301
148,3.107096724259869,2.35720711517334,42.7,71.61,0.006380890124270982
149,3.0977446901660874,2.3031698837280272,43.19,72.23,0.0063154486507265364
150,3.090996118422202,2.321358627319336,43.15,72.43,0.00625
151,3.0810219377622716,2.301623440170288,43.43,72.46,0.006184551349273464
152,3.081820261157887,2.307302439880371,43.37,72.05,0.006119109875729022
153,3.0617189065442347,2.3314295925140383,42.72,71.52,0.006053682755761698
154,3.0646451038526665,2.3183845672607424,43.46,72.68,0.005988277164192503
155,3.0533498893474036,2.306451732635498,43.81,72.83,0.005922900273481601
156,3.0401546745996315,2.2900263385772703,43.81,72.71,0.005857559252941793
157,3.033540980763991,2.307818964767456,44.45,72.41,0.0057922612679523035
158,3.0261676505341573,2.249856855392456,45.12,73.85,0.005727013479173028
159,3.0034810548860498,2.2966672176361085,44.21,72.74,0.005661823041759286
160,3.011694030633504,2.251181777191162,44.72,74.06,0.0055966971045771675
161,3.0070975330513967,2.283263258743286,43.97,73.14,0.005531642809419585
162,2.9885757870008636,2.2457048377990723,44.91,73.5,0.0054666672902231
163,2.972141332876667,2.2695831272125244,44.64,73.25,0.005401777672285599
164,2.9777746427990257,2.2636179573059083,45.11,73.16,0.00533698107148493
165,2.961065707530316,2.2130348541259766,46.1,74.3,0.005272284593498559
166,2.9448416611601846,2.2413666793823244,44.58,73.81,0.00520769533302436
167,2.9482708618369204,2.230951401138306,45.6,74.09,0.005143220373002605
168,2.922891443731232,2.268257946777344,44.72,73.71,0.005078866783839221
169,2.9238975374707796,2.201631337738037,46.51,74.96,0.005014641622630461
170,2.9183837840865423,2.2022947414398195,45.92,74.69,0.004950551932389004
171,2.903204504109528,2.2085247203826905,45.91,74.63,0.004886604741271609
172,2.8954947068047128,2.250557080078125,46.2,74.01,0.004822807061808403
173,2.89136880552265,2.2240290126800537,46.03,74.26,0.004759165890133871
174,2.886245904139764,2.2251972797393798,46.1,73.85,0.004695688205219659
175,2.87469047407182,2.215361143875122,46.42,74.2,0.004632380968109247
176,2.8719998311141692,2.1792521224975587,47.27,75.05,0.0045692511211545914
177,2.8483716054090924,2.205968239593506,46.51,74.32,0.004506305587254816
178,2.848409691327055,2.259429195022583,45.68,73.93,0.0044435512690970515
179,2.833255670211074,2.206859433746338,46.8,74.61,0.004380995048399459
180,2.8305581550134127,2.182992554092407,46.64,74.77,0.004318643785156579
181,2.8220537410960764,2.2004008880615236,46.38,74.76,0.004256504316887063
182,2.8059430942034753,2.1948218521118164,46.54,74.86,0.004194583457883855
183,2.7994762721653936,2.1709483612060545,47.84,75.67,0.004132887998466929
184,2.791612352207589,2.1675645847320557,47.17,75.38,0.004071424704238657
185,2.7899658364004116,2.1816429912567137,46.93,75.18,0.004010200315341875
186,2.777394302752198,2.1967867652893065,46.95,74.92,0.003949221545720765
187,2.769306662751221,2.1762803398132324,47.35,75.42,0.00388849508238458
188,2.756401925172452,2.1830932991027834,47.28,75.39,0.003828027584674357
189,2.7475017635831454,2.162038506317139,47.47,75.51,0.0037678256835326205
190,2.7433089991690407,2.16099674987793,47.54,75.86,0.0037078959807762485
191,2.725844082392743,2.167219490432739,47.12,75.43,0.0036482450483724936
192,2.725678631346601,2.162680235671997,48.14,75.84,0.0035888794277182962
193,2.721221077075841,2.1604355304718017,47.66,75.46,0.003529805628922954
194,2.7101544959902304,2.1550712722778322,48.35,75.66,0.003471030130094205
195,2.698176860351416,2.1498182922363283,48.31,75.99,0.003412559376627833
196,2.685923577118164,2.160788109588623,47.89,75.31,0.003354399780500866
197,2.682697543032496,2.1547916049957276,48.21,76.08,0.0032965577195684134
198,2.672942127979977,2.1878102321624757,47.04,75.17,0.0032390395368642787
199,2.66217732307395,2.1659683067321778,48.15,75.85,0.00318185153990537
200,2.6578322958854645,2.1496135913848877,48.57,76.07,0.003124999999999999
201,2.6442769272074047,2.2047494998931887,47.16,75.03,0.0030684911515601794
202,2.640086524465173,2.1774903759002684,47.63,75.91,0.003012331191417937
203,2.630977930622736,2.1901673557281494,47.8,75.77,0.0029565262781457652
204,2.6221355321160047,2.1445734336853026,48.66,75.96,0.0029010825313812725
205,2.615627236769233,2.1638346824645995,48.27,75.68,0.002846006031156083
206,2.608417857471715,2.1636427082061767,48.38,76.47,0.0027913028172291
207,2.601624450060836,2.124885856628418,48.3,76.49,0.0027369788884241855
208,2.579958706140213,2.148620041656494,48.81,76.04,0.002683040201972303
209,2.57392849239894,2.1499806650161744,48.95,76.43,0.0026294926728582567
210,2.569208762862466,2.134394021034241,48.69,76.68,0.0025763421731720437
211,2.5667128591928225,2.180564339828491,48.61,75.79,0.0025235945314649004
212,2.563386435621679,2.153509897232056,49.15,75.94,0.0024712555321101575
213,2.5409410414256146,2.147024608230591,49.23,76.3,0.0024193309146688987
214,2.5345568131087837,2.1577077648162843,49.14,76.12,0.002367826373260561
215,2.5247810450161925,2.1509881799697874,48.82,76.58,0.002316747555938517
216,2.514090374169368,2.1652773469924926,49.15,76.11,0.0022661000640706894
217,2.5045179830012647,2.1597078117370607,48.47,76.37,0.00221588945172531
218,2.5036304912097016,2.162394857788086,49.4,76.08,0.002166121225061843
219,2.4924548010362093,2.159309339904785,48.96,76.46,0.002116800841727175
220,2.482003285393367,2.1579628677368166,48.97,76.83,0.002067933710257136
221,2.4842341213311796,2.1703494770050047,48.83,76.54,0.002019525189483371
222,2.465622094620816,2.1742527193069456,49.18,76.46,0.0019715805879456957
223,2.4518069994281717,2.1580640937805176,49.62,76.74,0.0019241051633099582
224,2.451365578037218,2.135716704940796,49.54,76.7,0.0018771041217914655
225,2.4463792599728102,2.1515286277770995,49.29,76.44,0.0018305826175840784
226,2.4405695275521615,2.1743091817855835,49.04,76.42,0.0017845457522949804
227,2.4341589893940623,2.173019175720215,49.6,76.48,0.0017389985743852367
228,2.4129194336419832,2.172809996032715,49.1,76.52,0.0016939460786161793
229,2.417736664319008,2.1629639835357666,49.31,76.29,0.0016493932055016626
230,2.410061459000987,2.178851446533203,49.18,76.34,0.0016053448407662855
231,2.3914585134894533,2.1649057767868043,50.09,76.7,0.0015618058148096276
232,2.3957146950323662,2.175790545272827,49.92,76.26,0.0015187809021765233
233,2.386234442571061,2.144197337341309,50.42,76.9,0.001476274821033486
234,2.3726209903496023,2.155351946258545,49.87,76.89,0.001434292232651318
235,2.3738253724865053,2.209461193084717,48.98,75.97,0.001392837740893932
236,2.356239962211492,2.163193356704712,50.03,76.71,0.0013519158917135018
237,2.3586603764840492,2.1888878355026247,49.36,76.35,0.0013115311726519365
238,2.3433772588814112,2.18845691280365,49.69,76.57,0.0012716880123487735
239,2.339221142547231,2.185555601119995,49.48,77.06,0.0012323907800555354
240,2.3244432561223545,2.2076562744140626,49.51,76.2,0.0011936437851565792
241,2.320571099902848,2.1743586011886595,49.41,76.83,0.0011554512766965355
242,2.3217966901508094,2.1851195373535157,49.98,77.14,0.0011178174429143498
243,2.3114297696020785,2.1949245838165283,49.42,76.72,0.0010807464107839878
244,2.301921613924635,2.1917133153915405,49.54,76.85,0.0010442422455618787
245,2.292741410634582,2.1868965467453,49.97,76.93,0.0010083089503411004
246,2.288173220298049,2.1966784313201906,50.39,76.84,0.0009729504656124058
247,2.277383579411061,2.201533588409424,49.88,76.6,0.0009381706688321016
248,2.2802924172673733,2.1758439039230346,49.84,76.96,0.0009039733739968338
249,2.272739745285386,2.205606481552124,49.41,76.56,0.000870362331225353
250,2.259508290074088,2.179073005104065,50.01,77.08,0.0008373412263472595
251,2.2496364984408537,2.179258461380005,49.9,77.2,0.0008049136804988152
252,2.246138943905409,2.207122794342041,50.16,76.8,0.0007730832497258527
253,2.2431133942781125,2.209132822036743,49.48,76.5,0.000741853424593799
254,2.2410935680936452,2.199815032196045,50.26,76.97,0.0007112276298049079
255,2.2333110667068734,2.233737793540955,49.26,76.51,0.0006812092238227014
256,2.2243573593879633,2.2198125045776367,49.76,76.67,0.0006518014985036708
257,2.224398128659716,2.2182674047470092,50.0,76.74,0.0006230076787362906
258,2.21450408861976,2.2222646995544433,49.82,76.41,0.0005948309220873791
