epoch,train_loss,eval_loss,eval_top1,eval_top5,lr
0,5.911581922454834,5.116859375,2.66,13.03,1e-05
1,5.047353409729004,4.61535791015625,2.21,11.82,0.0012580000000000002
2,5.057257897796631,4.534155859375,2.79,12.55,0.0025060000000000004
3,4.966756164550781,4.5051521484375,3.49,13.59,0.003754000000000001
4,4.944510824279785,4.47805263671875,3.76,14.2,0.005002
5,4.926426886901855,4.44913984375,3.71,14.81,0.006245717296108043
6,4.892255961456299,4.44108564453125,4.24,15.83,0.006243833526338349
7,4.878974727020264,4.4137640625,4.03,16.7,0.006241607741326431
8,4.874705296936035,4.41840234375,4.0,16.79,0.006239040185154702
9,4.86988818145752,4.4204734375,4.79,16.43,0.006236131139384625
10,4.866211446533203,4.4071158203125,4.59,17.09,0.006232880923025854
11,4.864576682281494,4.397673828125,4.23,17.43,0.0062292898925012385
12,4.855365977935791,4.377327734375,4.75,18.71,0.006225358441607744
13,4.84480870803833,4.369118603515625,4.95,17.88,0.006221087001473262
14,4.83546969619751,4.3604701171875,5.0,18.45,0.006216476040509339
15,4.8315886276245115,4.3697888671875,4.32,17.38,0.006211526064359806
16,4.822280407562256,4.33148681640625,5.56,19.73,0.006206237615845329
17,4.818168427124023,4.34180576171875,5.67,19.93,0.006200611274903881
18,4.796503744506836,4.289704541015625,6.25,21.86,0.006194647658527153
19,4.744946461334228,4.1853595703125,6.8,24.55,0.006188347420692881
20,4.69336477142334,4.138769165039062,7.82,25.69,0.006181711252293143
21,4.670310698165894,4.122271435546875,8.17,26.16,0.006174739881058586
22,4.653768044204712,4.112119921875,7.72,26.29,0.006167434071478626
23,4.638533054733276,4.066890869140625,8.88,27.98,0.006159794624717613
24,4.622890742263794,4.055006225585937,8.82,28.14,0.006151822378526972
25,4.613534510421753,4.062748168945313,8.41,27.89,0.0061435182071533385
26,4.6072858753967285,4.02325771484375,9.41,29.1,0.006134883021242682
27,4.593867449111938,4.037329833984375,9.38,28.62,0.006125917767740447
28,4.587538812866211,4.0039658203125,9.95,30.08,0.0061166234297877105
29,4.572407464141846,3.978607275390625,10.02,30.46,0.006107001026613365
30,4.567401460876465,4.00623271484375,9.8,29.87,0.0060970516134223555
31,4.5561717986297605,3.9779676025390627,10.15,30.37,0.006086776281279956
32,4.553053581161499,3.9726266357421873,10.15,30.77,0.006076176156992129
33,4.542457459716797,3.950412451171875,10.65,31.53,0.006065252402981955
34,4.527424518432618,3.920611865234375,10.65,32.66,0.006054006217162161
35,4.516051309432983,3.9180561279296877,11.08,32.79,0.0060424388328037554
36,4.499451201019287,3.87840693359375,10.87,33.52,0.006030551518400786
37,4.473589079742432,3.8352843017578127,12.12,35.11,0.006018345577531234
38,4.450861263198853,3.8188475830078126,11.94,35.32,0.006005822348714065
39,4.4367144269561765,3.7783504150390623,13.43,36.5,0.005992983205262441
40,4.412336355438232,3.80894140625,12.91,35.96,0.005979829555133128
41,4.399325010375977,3.7288298583984374,14.58,38.83,0.00596636284077209
42,4.38498422782898,3.7328921997070315,14.43,37.85,0.005952584538956311
43,4.370701528320312,3.722600866699219,15.22,38.24,0.005938496160631856
44,4.356814949035645,3.694424169921875,14.88,39.03,0.005924099250748166
45,4.346030602264404,3.6436398559570313,16.08,41.32,0.005909395388088649
46,4.330305015716553,3.7064776611328125,15.24,38.98,0.005894386185097546
47,4.309153936920166,3.614457733154297,16.7,41.23,0.0058790732877031
48,4.303993086090088,3.63470615234375,15.86,41.89,0.0058634583751370735
49,4.2892762922668455,3.64703994140625,16.04,40.4,0.005847543159750592
50,4.280905026931762,3.5763313354492188,17.01,43.4,0.005831329386826371
51,4.279928798217774,3.5890235229492187,16.64,42.72,0.005814818834387324
52,4.256033118896484,3.593485595703125,17.32,41.89,0.005798013313001584
53,4.243939610977173,3.587910137939453,16.57,41.95,0.005780914665583951
54,4.325492189636231,3.9351130615234373,11.58,33.25,0.005763524767193797
55,4.258771087493897,3.5008603240966796,18.47,44.97,0.00574584552482945
56,4.216680683746338,3.5658361877441407,17.1,42.84,0.005727878877219061
57,4.20384286529541,3.5376113525390624,18.01,42.9,0.005709626794608006
58,4.202068800888061,3.5862268920898437,17.84,43.59,0.005691091278542826
59,4.186651765975952,3.537962725830078,18.35,43.89,0.005672274361651732
60,4.17558749671936,3.482477239990234,18.89,45.43,0.005653178107421711
61,4.167180067977905,3.4618492248535158,19.32,46.0,0.005633804609972233
62,4.159930572738648,3.581167236328125,17.94,43.47,0.005614155993825614
63,4.152795694732666,3.5097858520507814,18.78,44.5,0.0055942344136740325
64,4.1399677690124514,3.471879113769531,19.08,45.41,0.00557404205414325
65,4.133788143005371,3.526829431152344,18.56,44.55,0.005553581129553034
66,4.125377987365723,3.4907563293457033,18.92,45.49,0.005532853883674342
67,4.11239220413208,3.4535016662597657,19.38,45.57,0.0055118625894832575
68,4.103172353820801,3.3868859619140625,20.72,47.51,0.0054906095489117394
69,4.098475501022339,3.374012728881836,20.98,47.95,0.005469097092595187
70,4.080075483703613,3.4210629608154295,19.91,47.11,0.005447327579616858
71,4.083007265090942,3.403989083862305,20.25,47.44,0.0054253033972491704
72,4.064461404953003,3.380325128173828,20.85,48.11,0.0054030269606919114
73,4.061892075424194,3.3270160736083985,21.71,49.4,0.005380500712807382
74,4.051912945022583,3.412492254638672,20.54,47.61,0.005357727123852511
75,4.045123479156494,3.2823598510742187,22.37,50.13,0.005334708691207961
76,4.0355308246612545,3.294348962402344,22.13,49.96,0.005311447939104268
77,4.02087507446289,3.282281796264648,22.39,50.21,0.005287947418345021
78,4.009850756530762,3.292601159667969,22.04,50.56,0.005264209706027152
79,4.002792761306763,3.3992233459472656,20.65,47.89,0.005240237405258315
80,3.999668653717041,3.262497662353516,22.64,51.41,0.005216033144871433
81,3.9849681660461425,3.219270797729492,23.88,51.49,0.005191599579136412
82,3.980039494476318,3.2189096450805663,23.35,52.17,0.00516693938746908
83,3.977087510757446,3.224601574707031,23.3,52.02,0.005142055274137346
84,3.9569269306945802,3.2292217010498048,23.02,52.14,0.0051169499679646555
85,3.9489484719085692,3.163670739746094,25.05,53.15,0.005091626222030743
86,3.938373807144165,3.313331687927246,21.97,49.94,0.0050660868133697206
