epoch,train_loss,eval_loss,eval_top1,eval_top5,lr
0,6.922813610902364,8.778732351684571,0.45,2.09,1e-05
1,5.174061402773888,4.227225328826904,7.61,25.52,0.0025080000000000002
2,4.5324448563835835,3.5428349334716795,15.87,42.65,0.005006
3,4.184803420694475,3.0373818519592284,24.96,56.37,0.007504
4,3.8444520151111443,2.6081801338195802,34.45,66.39,0.010002
5,3.580182366884014,2.269046731567383,41.39,73.26,0.012491434592216086
6,3.3233115183101267,2.031366886138916,47.29,78.32,0.012487667052676697
7,3.136156317977075,1.8772149044036865,50.64,81.27,0.012483215482652863
8,3.0093985965401506,1.773274321746826,52.91,82.83,0.012478080370309404
9,2.887162935413258,1.6521373989105224,56.69,85.01,0.01247226227876925
10,2.790143226386643,1.55966569480896,58.85,86.4,0.012465761846051708
11,2.7207005903907073,1.4698605863571168,60.94,87.8,0.012458579785002477
12,2.647118476456778,1.4470924564361571,61.89,88.21,0.012450716883215487
13,2.5927463695883906,1.414940293121338,63.24,88.97,0.012442174002946524
14,2.5364409420310152,1.3833662315368653,63.42,89.11,0.012432952081018678
15,2.4765007738572535,1.3859187644958497,63.79,89.13,0.012423052128719612
16,2.434709302441869,1.3338412700653077,65.67,90.05,0.012412475231690657
17,2.3931050279229003,1.2667381734848022,66.98,90.27,0.012401222549807762
18,2.349578076990252,1.21593995513916,68.41,91.26,0.012389295317054306
19,2.3261347313085987,1.2230914331436158,68.29,91.3,0.012376694841385762
20,2.280475200062067,1.2417993322372436,68.27,91.19,0.012363422504586287
21,2.246696003878468,1.198910142326355,69.19,91.7,0.012349479762117171
22,2.2163130363947907,1.1923027252197265,69.35,91.83,0.012334868142957253
23,2.188228471788951,1.1845570100784302,70.02,91.53,0.012319589249435227
24,2.1643698519994903,1.2102404912948608,69.63,91.58,0.012303644757053945
25,2.1436961606125826,1.198768840789795,70.42,91.73,0.012287036414306677
26,2.105451830370631,1.1473772197723389,71.48,92.67,0.012269766042485364
27,2.088424945228689,1.1501441961288452,70.91,92.51,0.012251835535480895
28,2.0704289846475237,1.1670093530654908,71.03,92.07,0.012233246859575421
29,2.052529262901116,1.138557747077942,71.44,92.54,0.01221400205322673
30,2.0217908417827495,1.137462250328064,71.31,92.48,0.012194103226844711
31,1.9968733580713847,1.136550879096985,72.75,92.55,0.012173552562559913
32,1.9861316716014652,1.1372221340179443,72.2,92.74,0.012152352313984259
33,1.9566188838509377,1.1264208989143372,72.8,92.68,0.01213050480596391
34,1.9531266467214088,1.1583853986740111,72.48,92.38,0.012108012434324323
35,1.9466208923183543,1.109810585975647,72.87,92.93,0.012084877665607511
36,1.9248743292311548,1.15033944606781,73.03,92.8,0.012061103036801572
37,1.9013773826417177,1.1071864515304566,73.49,92.78,0.012036691155062468
38,1.8868658479288811,1.1150120265960692,73.5,92.86,0.01201164469742813
39,1.8796848589113213,1.1392529155731201,72.47,92.93,0.011985966410524882
40,1.8611988835847637,1.1200660375595093,73.32,92.82,0.011959659110266255
41,1.847741473652184,1.1270541013717652,73.45,92.83,0.01193272568154418
42,1.8317973864826442,1.1288856187820435,73.71,93.24,0.011905169077912623
43,1.8235051456395246,1.1297192029953003,73.92,92.7,0.011876992321263711
44,1.8062230361561158,1.1382100233078003,73.57,93.19,0.011848198501496331
45,1.7921264806569157,1.123615796661377,74.11,92.85,0.011818790776177299
46,1.7867117774471277,1.1182016494750977,74.05,92.87,0.011788772370195093
47,1.779534987313494,1.1289966464996337,73.74,92.96,0.0117581465754062
48,1.7644546529547658,1.137361820793152,73.57,92.87,0.011726916750274147
49,1.7558379955542072,1.1348700044631959,74.0,93.04,0.011695086319501185
50,1.7548986349765225,1.1307855582237243,74.09,93.17,0.011662658773652742
51,1.7401917579079407,1.1208908452987671,74.4,93.19,0.011629637668774648
52,1.7265130150943957,1.1334416421890259,74.39,93.07,0.011596026626003168
53,1.7259906148788413,1.1202549480438233,74.12,93.03,0.011561829331167901
54,1.7267538134328229,1.1111472890853882,74.85,93.22,0.011527049534387594
55,1.707546325941855,1.1161720149993897,74.96,93.25,0.0114916910496589
56,1.7032076111981567,1.149947428703308,74.48,93.08,0.011455757754438122
57,1.7015885285622943,1.1478490198135376,74.16,92.81,0.011419253589216012
58,1.6914436611109598,1.162046876525879,74.51,92.87,0.011382182557085651
59,1.6873402478752917,1.1185375484466553,75.24,93.14,0.011344548723303463
60,1.6806210594659579,1.1193346363067627,74.9,93.08,0.011306356214843423
61,1.6809565177647618,1.130813607788086,74.9,93.26,0.011267609219944467
62,1.671508389154256,1.1306433794021606,74.9,93.06,0.011228311987651228
63,1.6747210674493476,1.1128761936187743,75.32,93.41,0.011188468827348065
64,1.657941246307461,1.115523073387146,75.46,93.26,0.0111480841082865
65,1.6456555121992065,1.1161898275375366,75.19,93.62,0.011107162259106068
66,1.6446918063676617,1.1291703441619874,75.51,93.37,0.011065707767348684
67,1.6440118716101946,1.111462661743164,75.02,93.19,0.011023725178966515
68,1.6297943549333247,1.117291644859314,74.88,93.2,0.010981219097823479
69,1.625303390618323,1.127869626045227,75.17,93.13,0.010938194185190373
70,1.6208278276550938,1.1121579313278198,75.69,93.25,0.010894655159233716
71,1.6203050295918913,1.0986904167175293,76.06,93.42,0.010850606794498341
72,1.6149522866696004,1.1261318239212037,75.17,93.01,0.010806053921383823
73,1.6097699210677348,1.1248861614227295,75.22,93.17,0.010761001425614765
74,1.6029596173045884,1.1181539583206177,76.12,93.49,0.010715454247705022
75,1.5931633708571655,1.1268646200180055,75.82,93.39,0.010669417382415922
76,1.5973336131105655,1.122341929626465,75.54,93.52,0.010622895878208536
