epoch,train_loss,eval_loss,eval_top1,eval_top5,lr
0,6.749939002087113,6.5105875,1.88,7.92,1e-05
1,4.779883850857177,4.034170056152344,9.93,30.22,0.0025080000000000002
2,4.647295063192194,3.915230126953125,10.75,32.52,0.005006
3,4.58719380488011,3.886000030517578,11.15,32.94,0.007504
4,4.536578719808259,3.7649710083007815,13.91,38.49,0.010002
5,4.470633873103065,4.0191548095703125,12.03,32.88,0.012491434592216086
6,4.391306945975398,3.569080029296875,16.94,42.98,0.012487667052676697
7,4.295356688059857,3.4787578857421875,18.72,44.89,0.012483215482652863
8,4.210476932543951,3.37303455657959,20.97,47.9,0.012478080370309404
9,4.13059786095662,3.2857650604248048,22.14,49.74,0.01247226227876925
10,4.029773950576782,3.131374542236328,24.54,54.04,0.012465761846051708
11,3.9412388894683117,2.9372375747680666,28.51,58.55,0.012458579785002477
12,3.8468019205232586,2.7785669006347655,31.84,62.91,0.012450716883215487
13,3.7449818829720822,2.6774972480773926,33.78,65.09,0.012442174002946524
14,3.662899882936905,2.664184294128418,34.2,65.32,0.012432952081018678
15,3.570133552050621,2.4991507415771483,37.1,69.39,0.012423052128719612
16,3.486030785588693,2.261505686187744,42.37,73.57,0.012412475231690657
17,3.418347860878469,2.301706158447266,41.12,72.89,0.012401222549807762
18,3.3380034818539395,2.200835009765625,44.42,75.8,0.012389295317054306
19,3.2731447132845695,2.126595855331421,45.89,75.86,0.012376694841385762
20,3.2074896103288695,2.011844100189209,48.01,78.87,0.012363422504586287
21,3.142631193129262,1.9009695140838623,50.47,79.74,0.012349479762117171
22,3.0778732192958973,1.9821307662963867,49.45,78.74,0.012334868142957253
23,3.024049426620962,1.7968804191589356,53.9,81.91,0.012319589249435227
24,2.975852775817949,1.8522870441436767,52.17,81.08,0.012303644757053945
25,2.9340875211354254,1.6402225522994995,56.85,85.0,0.012287036414306677
26,2.8824578897595865,1.632679348373413,57.15,85.09,0.012269766042485364
27,2.8314777286043546,1.638268641281128,57.23,85.41,0.012251835535480895
28,2.7999821119821333,1.5089609762191774,60.28,87.04,0.012233246859575421
29,2.7676741383903005,1.5104781551361084,59.84,86.84,0.01221400205322673
30,2.7308204889908034,1.489976972579956,60.95,87.17,0.012194103226844711
31,2.6839177875604276,1.417403355026245,61.78,88.03,0.012173552562559913
32,2.6605242834201084,1.4544001222610474,61.81,87.9,0.012152352313984259
33,2.619398139350393,1.4409685022354126,62.48,88.31,0.01213050480596391
34,2.5999643622531474,1.5129319326400756,60.69,86.94,0.012108012434324323
35,2.563601696842306,1.367252421951294,63.86,88.3,0.012084877665607511
36,2.5420790819901966,1.330583524131775,65.11,89.36,0.012061103036801572
37,2.516797091683108,1.3919883359909058,63.96,88.98,0.012036691155062468
38,2.4857011486259832,1.378938212776184,64.23,89.05,0.01201164469742813
39,2.4585640616667255,1.384793320465088,64.03,89.02,0.011985966410524882
40,2.445830190609115,1.322134012413025,65.76,90.1,0.011959659110266255
41,2.413050882337035,1.337070887184143,65.59,90.05,0.01193272568154418
42,2.3947959286607947,1.3236240320205688,65.61,89.83,0.011905169077912623
43,2.3687154035562132,1.258403861618042,67.4,90.63,0.011876992321263711
44,2.347822694482327,1.246856061553955,67.63,90.73,0.011848198501496331
45,2.3277295629437846,1.2566259565353393,67.81,90.53,0.011818790776177299
46,2.2992577042988716,1.231161097717285,67.54,91.19,0.011788772370195093
47,2.293700254451908,1.2189932189941406,68.97,91.52,0.0117581465754062
48,2.2636009430305295,1.2382370631217956,68.63,90.98,0.011726916750274147
49,2.2488002783205077,1.2198410810470581,68.83,91.06,0.011695086319501185
50,2.2399565674431345,1.2736079900741577,68.22,90.95,0.011662658773652742
51,2.2204036063940364,1.169174485397339,70.02,91.89,0.011629637668774648
52,2.204520256357523,1.232476735687256,68.99,91.51,0.011596026626003168
53,2.177815198058813,1.2043284908294678,69.63,91.52,0.011561829331167901
