epoch,train_loss,eval_loss,eval_top1,eval_top5,lr
0,6.454951249072555,5.7867681640625,2.83,11.88,1e-05
1,4.881856084022571,4.1856697265625,7.03,22.91,0.0025080000000000002
2,4.688872652688802,3.8792545654296875,11.82,33.83,0.005006
3,4.475273776603874,3.5681931396484377,17.06,42.4,0.007504
4,4.285220515560097,3.3752256896972654,20.97,49.21,0.010002
5,4.168896555900574,3.2968020675659178,22.66,50.95,0.012491434592216086
6,4.041041433124322,3.0919713623046876,26.3,55.81,0.012487667052676697
7,3.954714180870642,3.050856895446777,26.88,56.64,0.012483215482652863
8,3.8689963771805416,2.924175389099121,29.14,59.66,0.012478080370309404
9,3.792997378240627,2.8402536125183104,31.76,62.18,0.01247226227876925
10,3.733116444949151,2.75229409866333,33.68,63.67,0.012465761846051708
11,3.687968571115853,2.6769019523620607,34.48,65.17,0.012458579785002477
12,3.6296059760180386,2.587145167541504,36.22,66.74,0.012450716883215487
13,3.5869815960125795,2.57081588973999,36.82,67.21,0.012442174002946524
14,3.5377617111279323,2.506438916015625,37.8,68.73,0.012432952081018678
15,3.499296762573887,2.4440296894073485,39.22,70.11,0.012423052128719612
16,3.4580340872348194,2.427264763259888,39.56,70.16,0.012412475231690657
17,3.423500763469408,2.375940955924988,40.63,71.25,0.012401222549807762
18,3.390022503276488,2.3278434555053713,42.34,72.42,0.012389295317054306
19,3.3614995039989943,2.2846939128875734,42.93,72.85,0.012376694841385762
20,3.32539699920161,2.2723299060821534,42.8,73.63,0.012363422504586287
21,3.2926296508571706,2.2313429611206055,42.97,74.88,0.012349479762117171
22,3.2657553114750626,2.30706489944458,42.27,72.87,0.012334868142957253
23,3.2424821566680633,2.1685339500427245,45.3,75.58,0.012319589249435227
24,3.2207327296578168,2.138518362426758,45.75,76.12,0.012303644757053945
25,3.180610460142167,2.1005344596862794,46.34,77.05,0.012287036414306677
26,3.1595822004899476,2.116889320755005,46.35,76.3,0.012269766042485364
27,3.137311301219173,2.00600262260437,49.0,78.66,0.012251835535480895
28,3.1144519471939027,2.0573049869537354,47.48,78.07,0.012233246859575421
29,3.08959945887518,2.0143022174835203,48.43,78.78,0.01221400205322673
30,3.0679853577619935,1.9714980239868165,49.47,79.59,0.012194103226844711
31,3.047566227204668,1.9521570949554443,49.65,79.41,0.012173552562559913
32,3.0204442412844084,1.9185482433319092,50.79,79.8,0.012152352313984259
33,2.9990785714148256,1.9252412429809571,50.42,79.7,0.01213050480596391
34,2.9754187610482132,1.915192844772339,51.28,79.97,0.012108012434324323
35,2.966039988814487,1.870216318511963,51.72,80.6,0.012084877665607511
36,2.944066589681501,1.8793026950836182,51.96,80.32,0.012061103036801572
37,2.9255662292585485,1.828841423034668,52.38,81.07,0.012036691155062468
38,2.9107310245345404,1.818507448577881,53.12,81.54,0.01201164469742813
39,2.8829169790814992,1.7870075862884522,53.6,82.59,0.011985966410524882
40,2.8635001255821786,1.79794334564209,53.33,81.9,0.011959659110266255
41,2.848665666488618,1.7657293544769288,54.11,82.23,0.01193272568154418
42,2.826664277212873,1.7443962921142577,54.89,82.73,0.011905169077912623
43,2.814868170686934,1.7394348804473876,54.46,83.01,0.011876992321263711
44,2.7948568940315295,1.7351745231628417,55.05,82.86,0.011848198501496331
45,2.782895160164021,1.7068646030426025,55.94,83.35,0.011818790776177299
46,2.765748003762449,1.691876549911499,55.35,83.22,0.011788772370195093
47,2.7491265075918045,1.6905259494781495,55.83,83.61,0.0117581465754062
48,2.73560014393815,1.6724121768951417,56.43,84.04,0.011726916750274147
49,2.7120172388269714,1.6803278562545776,56.49,83.71,0.011695086319501185
50,2.705622079430408,1.6363140632629394,57.16,84.49,0.011662658773652742
51,2.684875550709674,1.647988391304016,56.75,84.47,0.011629637668774648
52,2.6724768076449745,1.6471525997161864,57.66,84.79,0.011596026626003168
53,2.6563937309151573,1.603015905380249,57.8,84.77,0.011561829331167901
54,2.6413869755521473,1.6117317146301269,59.43,84.98,0.011527049534387594
55,2.6183073299337134,1.6202892211914062,57.86,84.85,0.0114916910496589
56,2.602751717601024,1.5880220336914062,59.27,85.49,0.011455757754438122
57,2.5981185528594004,1.6057738903045655,58.51,85.12,0.011419253589216012
58,2.5713304053042823,1.570978199005127,59.2,85.62,0.011382182557085651
59,2.570830829393848,1.5763712203979492,59.19,85.71,0.011344548723303463
60,2.546863955511174,1.5709288722991943,59.37,85.86,0.011306356214843423
61,2.5436022799085256,1.5983763462066651,59.32,85.24,0.011267609219944467
62,2.520447399491079,1.542843627166748,59.76,86.19,0.011228311987651228
63,2.5184856402889255,1.5346901597976685,60.3,86.25,0.011188468827348065
64,2.4903723571578307,1.5613229969024658,59.47,85.9,0.0111480841082865
65,2.49364073015511,1.5239661359786987,60.49,86.5,0.011107162259106068
66,2.469965391671917,1.5287714708328246,60.28,86.26,0.011065707767348684
67,2.4512917982478757,1.5236252630233764,60.36,86.4,0.011023725178966515
68,2.4337397471127526,1.5469233156204223,60.43,86.19,0.010981219097823479
69,2.429976702118042,1.5168948947906493,60.95,86.68,0.010938194185190373
70,2.4064374640107,1.5085229537963867,61.2,86.53,0.010894655159233716
71,2.4091951558592988,1.5070437759399413,61.03,86.65,0.010850606794498341
72,2.396951041438363,1.5122542497634888,61.12,86.9,0.010806053921383823
73,2.3778393505935327,1.5393424520492553,60.31,86.5,0.010761001425614765
74,2.3665787556259947,1.4930018644332885,61.76,87.09,0.010715454247705022
75,2.3429548416033903,1.5208843378067016,61.15,86.37,0.010669417382415922
76,2.337167842134776,1.4768635334014892,62.57,87.15,0.010622895878208536
77,2.328384566627605,1.5116140615463256,61.8,86.89,0.010575894836690043
78,2.3031636822238926,1.49319699344635,61.98,86.89,0.010528419412054305
79,2.3008500293336054,1.482451166343689,62.56,86.97,0.01048047481051663
80,2.2856586626641424,1.5081565229415894,62.02,86.67,0.010432066289742865
81,2.2797797424539867,1.4923111480712892,62.89,86.92,0.010383199158272825
82,2.258299563895725,1.4828434970855713,62.8,87.29,0.01033387877493816
83,2.2573882464257458,1.4841601779937743,62.86,87.59,0.010284110548274692
84,2.238195475405523,1.4720242309570313,62.52,87.47,0.010233899935929311
85,2.2305738663398653,1.4612157669067383,62.84,87.42,0.010183252444061486
86,2.2160443542250903,1.4855029502868653,62.52,87.2,0.010132173626739441
87,2.198991664164198,1.5161071136474609,62.31,87.12,0.010080669085331104
88,2.197429515488169,1.5116098140716552,62.66,87.37,0.010028744467889844
89,2.179431395402486,1.4811887247085571,63.38,87.65,0.0099764054685351
90,2.1672660373389796,1.4914958723068237,63.18,87.32,0.009923657826827957
91,2.153732174566247,1.4833740627288818,63.15,87.59,0.009870507327141743
92,2.1511538002005612,1.5253404151916503,62.83,86.78,0.0098169597980277
93,2.141645113805192,1.4962954559326171,63.11,87.3,0.009763021111575818
94,2.118256278440986,1.4663045572280884,64.12,87.7,0.009708697182770901
95,2.1162222120887035,1.4870291965484619,63.43,87.94,0.00965399396884392
96,2.0957752479939087,1.4871463897705077,63.01,87.18,0.009598917468618729
97,2.087544558524475,1.5084353748321533,62.65,87.22,0.009543473721854236
98,2.077883199067183,1.4768775138854981,63.64,87.78,0.009487668808582065
99,2.068221284241133,1.5274409238815307,63.41,87.41,0.009431508848439822
100,2.0530071651584514,1.502743318939209,63.41,87.48,0.009375000000000001
101,2.0519468366107625,1.4903477067947388,63.67,87.74,0.00931814846009463
102,2.034250112868149,1.4975680595397949,63.72,87.21,0.009260960463135721
103,2.0329508402894003,1.5054950946807861,63.94,88.1,0.009203442280431589
104,2.0121251290494744,1.5036717496871947,63.53,87.62,0.009145600219499136
105,2.007576502468461,1.5047455432891845,64.69,87.8,0.009087440623372167
106,1.9969885037894743,1.481022264289856,64.25,87.73,0.009028969869905796
107,1.9867680895496422,1.5063605514526368,64.28,87.99,0.008970194371077048
108,1.9811791220486699,1.5024172063827514,64.39,87.43,0.008911120572281704
109,1.9701481582107983,1.488953157043457,64.6,87.64,0.008851754951627508
110,1.9615190888489102,1.5041013584136962,64.2,87.88,0.008792104019223751
111,1.9536315340849257,1.5231717088699341,64.35,87.51,0.008732174316467379
112,1.9466384998051671,1.5266853122711181,63.91,87.64,0.008671972415325644
113,1.9316810738872474,1.4941355524063111,64.03,87.77,0.00861150491761542
114,1.9222112224746146,1.4906671295166016,64.86,87.97,0.00855077845427924
115,1.9269895704699234,1.50453969039917,64.15,87.86,0.008489799684658126
116,1.8970747284791534,1.5227082921981812,64.02,87.28,0.008428575295761345
117,1.902480808171359,1.4957322248458862,65.09,87.77,0.008367112001533073
118,1.8959124118051516,1.5089240041732788,64.45,87.93,0.008305416542116145
119,1.8826285508317007,1.5318716817855835,64.51,87.95,0.008243495683112938
120,1.8766590931504088,1.5151598829269408,65.07,88.02,0.008181356214843422
121,1.8710097088245974,1.5028801781654357,65.08,88.13,0.008119004951600542
122,1.8553576152700162,1.538479594898224,64.83,87.63,0.008056448730902948
123,1.8529711180246136,1.5404109115600586,64.26,87.38,0.007993694412745184
124,1.8376080515137403,1.5185458335876465,64.72,87.55,0.007930748878845411
125,1.8451333233702656,1.5680648128509522,64.06,87.32,0.007867619031890757
126,1.83073156476784,1.5188764530181884,65.38,87.69,0.007804311794780342
127,1.826903915893711,1.556185793876648,64.75,87.55,0.007740834109866131
128,1.812353042649551,1.5282703207969666,64.88,87.91,0.007677192938191599
129,1.810470468332459,1.5737901079177856,64.46,87.63,0.007613395258728392
130,1.8069102474883028,1.5248084297180176,65.13,87.9,0.007549448067610997
131,1.7975842555109578,1.548086727333069,64.93,87.89,0.007485358377369538
132,1.789585397506035,1.5272000675201416,64.97,87.61,0.00742113321616078
133,1.7780242702719802,1.5359946396827697,65.48,87.88,0.007356779626997397
134,1.7750107592565607,1.536045261001587,65.69,87.83,0.00729230466697564
135,1.773129760455841,1.528521589565277,65.74,88.14,0.007227715406501444
136,1.7663841773392144,1.5623651573181152,64.76,87.74,0.007163018928515074
137,1.7564749684132321,1.5481781423568726,64.87,87.82,0.007098222327714403
138,1.7488013989030933,1.5464756464004517,65.32,87.47,0.007033332709776902
139,1.745731174258966,1.5456633623123168,65.72,87.89,0.0069683571905804174
140,1.7469891508929098,1.5796589497566222,64.74,87.87,0.006903302895422837
141,1.7445695313998282,1.5409249214172362,65.6,88.27,0.0068381769582407164
142,1.73564104936187,1.550637550163269,66.0,88.17,0.006772986520826973
143,1.726178683178373,1.5494538084983827,65.58,88.33,0.006707738732047698
144,1.7222125063174514,1.5438648557662964,66.04,88.27,0.00664244074705821
145,1.714611440706192,1.5191055799484252,65.61,88.21,0.0065770997265184004
146,1.7074935688862574,1.5757115056037903,65.45,88.42,0.006511722835807499
147,1.702318323024867,1.5768100290298461,65.15,88.04,0.006446317244238301
148,1.699451202924975,1.563310478401184,65.56,88.1,0.006380890124270982
